id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
165985,Mechanical Principles,6.6,18,Released,1930-02-05,0,11,False,/cp8s3VpAQnOI925VDteAh8sSzUX.jpg,0,,tt0192301,en,Mechanical Principles,"Close up we see pistons move up and down or side to side. Pendulums sway, the small parts of machinery move. Gears drive larger wheels. Gears within gears spin. Shafts turn some mechanism that is out of sight. Screws revolve and move other gears; a bit rotates. More subtle mechanisms move other mechanical parts for unknown purposes. Weights rise and fall. The movements, underscored by sound, are rhythmic. Circles, squares, rods, and teeth are in constant and sometimes asymmetrical motion. These human-made mechanical bits seem benign and reassuring.",2.049,/85ppMKtbx0rNUVm2zyETqJ0CFoj.jpg,,Documentary,,United States of America,No Language,"mechanic, machine, silent film, industrial, short film, 20th century, gear"
873837,Bigfoot Famous,4.8,4,Released,2021-11-02,0,89,False,,0,,tt15006276,en,Bigfoot Famous,"When a viral video of Bigfoot emerges, a once popular influencer goes on a mission to film a vlog with Bigfoot and regain her fame.",1.392,/141Mj7agibo9jmbpKqw3tHppIoa.jpg,,"Comedy, Adventure",Gravitas Ventures,United States of America,English,"bigfoot, sasquatch, social media influencer"
392622,"What's New, Scooby-Doo? Vol. 7: Ready to Scare",10.0,46,Released,2006-05-17,0,0,False,,0,,,en,"What's New, Scooby-Doo? Vol. 7: Ready to Scare",Scooby-Doo and the mystery inc gang battle fiends and gobs of eerie monsters.,2.678,/hsWjtBhyFBINumzFqEtNl8FCgFQ.jpg,,"Animation, Comedy, Family, Mystery","Hanna-Barbera Productions, Cartoon Network Studios",United States of America,English,
77121,A Night to Remember,6.375,12,Released,1942-12-10,0,88,False,/cQCW1VxJlRpAbwm6qIbGS0ge1tx.jpg,0,,tt0036203,en,A Night to Remember,A woman rents a gloomy basement apartment in Greenwich Village thinking it will provide the perfect atmosphere for her mystery writer husband to create his next book. They soon find themselves in the middle of a real-life mystery when a corpse turns up in their apartment.,2.881,/4olWvTyGd5BVjWipVMqbC0Awx2g.jpg,Startling in Mystery and Laughs!,"Comedy, Mystery, Romance",Columbia Pictures,United States of America,English,"greenwich village, mystery writer"
469876,Adios Freakin’ Monsters from Venus,5.7,382,Released,2017-11-09,822764,93,False,/vEoy6veIJ11XXgLslh2HhKWYC4J.jpg,0,,tt7512574,it,Addio fottuti musi verdi,"Young Cyrus Priello, an ultra-skilled Neapolitan graphic, can not find a job that satisfies and appreciates him. After sending the curriculum practically everywhere, he just have to send a copy in space. He will thus be able to work for an alien society based on competence and meritocracy.",4.23,/6ACERZQZWcWoKzsEoozXJ8DAXki.jpg,,"Comedy, Science Fiction","Cattleya, RAI, The Jackal, Makinarium, RAI Cinema, MiC, Regione Lazio",Italy,Italian,
597305,The Attorney,7.2,9,Released,2021-10-08,0,102,False,/5SVQx2fYanxlq4ZloNXUdqEfqaj.jpg,0,,tt15845710,cn,一級指控,A young man is accused of killing the daughter of Hong Kong’s richest tycoon after a drunken tryst. His poor shop owner grandmother insists he is innocent and seeks legal aid.,2.381,/raaDODfFetQABeOofusxk43Ex5n.jpg,,"Drama, Crime, Mystery",,"China, Hong Kong",Cantonese,
860623,Last Man Down,6.15,610,Released,2021-03-30,0,87,False,/t4To8feUSysyBs4tlBAbXIrKlCv.jpg,0,,tt12335692,en,Last Man Down,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",38.001,/4B7liCxNCZIZGONmAMkCnxVlZQV.jpg,They will pay.,"Action, Thriller","Daniel Stisen Productions, Fansu Film","Sweden, United Kingdom",English,
958857,Life Lessons,6.115,13,Released,2023-05-10,0,90,False,/xYnLlge1OvzPjyyG0eHEPkDpYM1.jpg,0,,tt21997718,fr,Le Cours de la vie,"Noémie, an experienced screenwriter, meets up with Vincent, her first childhood love, at the film school where he is now the director. Through an extraordinary masterclass where intimacy rubs shoulders with the universal and reality flirts with fiction, Noémie will teach Vincent and his students that the art of writing a screenplay is the art of living passionately.",6.554,/wg92fUpEqy6ymuld69dBbDa3Arv.jpg,,"Drama, Comedy","Tabo Tabo Films, Sombrero Films",France,French,
387748,Tamara and the Ladybug,6.5,6,Released,2016-11-18,0,108,False,/tL3Rm0WXfOs4EhGPQwgcIKrpp71.jpg,0,,tt5255874,es,Tamara y la catarina,"Tamara has Intellectual disability and a love for ladybugs. One day, she decides to take care of a baby but she forgets where she took him from, so she will get assistance from the old lady who sell quesadillas so they can return the baby to his parents.",0.6,/7XnjIF2fL6VVkXChe5A852cBkrv.jpg,,Drama,"Eficine 226, Fondo para la Producción Cinematográfica de Calidad, Spectrum Films",Mexico,Spanish,
616458,Sathyam Paranja Viswasikkuvo ?,4.6,8,Released,2019-07-12,0,130,False,/3g4MlWnCXM4XaU24ai1sBtYfmvy.jpg,0,,tt9396112,ml,സത്യം പറഞ്ഞാൽ വിശ്വസിക്കുവോ ?,"Geetha, Suni's wife, bears the brunt of his negligent lifestyle and often quarrels with him over it. After witnessing a gruesome accident, Suni and his friends find their lives taking some really unexpected turns.",0.968,/z2rvAvvVXcCecvRmHdiB96nWC9Q.jpg,,"Drama, Comedy",,,Malayalam,"sathyam, paranjal"
195065,Adventures of Mowgli: The Kidnapping,7.6,18,Released,1968-01-01,0,20,False,,0,,tt1259772,ru,Маугли. Похищение,"Episode 2. Mowgli — the adopted son of a wolf family. He grows quickly and learns from his mentors. The rumor that the wolf pack living human child, comes to banderlogs. The monkey tribe, decided to make Mowgli their leader. They steal Mowgli and transfer it into a towns ruins in the jungle.",1.287,,,"Adventure, Animation, Family",Soyuzmultfilm,Soviet Union,Russian,jungle
382663,Pavada,5.9,14,Released,2016-01-15,240000,145,False,/bvYSRfi7yLZxBCBdTryn6CDxKsZ.jpg,0,,tt5068280,ml,പാവാട,"Joy a young man who leads a carefree life. Joy acquaintance Babu Joseph, an English professor, and they reminiscence some seemingly forgotten memories.",2.173,/qe8up41MgFglM7G43Ply1n4rn0Q.jpg,,"Comedy, Drama",Maniyanpilla Raju Productions,India,Malayalam,"movie business, alcoholic"
401157,Don't Tell,6.143,7,Released,2017-05-18,0,110,False,/wmdrQTn2UtJqltajFzJXE20fndX.jpg,0,,tt5495040,en,Don't Tell,"Based on true events that changed the law. This is the story of a survivor, Lyndal, a young woman sexually abused as an 11 year old while attending a prestigious school. Her courage to fight for justice is entrusted to a local lawyer determined to build a case and give Lyndal peace from her torment. With the help of his aspiring young associate and an enigmatic barrister, the lawyer and Lyndal find their way together.",1.14,/nAyiAV2vgYxiuKnDL5jmLEbPIuF.jpg,,Drama,Fornillo Road,Australia,English,woman director
241769,"Pimps Up, Ho's Down",5.0,6,Released,2000-12-26,0,91,False,/68nZA3LF9z6lcrRRnr9rCtsGy2a.jpg,0,,tt0214005,en,"Pimps Up, Ho's Down","Brent Owens directs this documentary that follows the life of several ""professional gentlemen of leisure."" Originally aired on HBO America Undercover and was released on DVD with extended footage.",1.081,/1EasjIf0Y1Fu8AREQ4UthA0dHsb.jpg,,Documentary,,United States of America,English,pimp
35025,Le Mac,5.787,260,Released,2010-02-16,0,90,False,/5yhXOc685Pybx7M5CiEetJhEgbY.jpg,0,,tt1437361,fr,Le Mac,A mild-mannered banker is forced to masquerade as a notorious gangster and pimp.,7.89,/mqnpiF48drc55uf0BJuhH14RiOD.jpg,,Comedy,"M6 Films, ARP Sélection, La Petite Reine",France,French,
222658,Children of No Importance,6.0,6,Released,1926-09-05,0,95,False,,0,,tt0017498,de,Die Unehelichen,"If watching a fellow facing indifference/rejection in the slums of Berlin didn't convey enough pathos, Gerhard Lamprecht gathered much of the same crew from Die Verrufenen and turned his attention to the city's population of unwanted children for the heart-tugging Die Unehelichen, released the following year. The trio of foster children at the center of Die Verrufenen are survivors who use their own resourcefulness to get by when the kids' guardians and the system itself let them down.",1.147,/u4qtem7nJXo3Z6yGa7lnFPT0zst.jpg,,Drama,Gerhard Lamprecht Filmproduktion GmbH,Germany,German,
251124,Klown Kamp Massacre,5.5,4,Released,2010-05-03,0,84,False,,0,http://www.klownkampmassacre.com/,tt1754022,en,Klown Kamp Massacre,"Fifteen years ago, Edwin went to clown camp to fulfill his lifelong dream of bringing laughter to the world... but nobody laughed. Humiliated on graduation night, Edwin viciously murdered the entire camp before vanishing into legend. Now, despite the warnings of the town drunk, old man Bonzo has reopened the ranch and a new class of clowns have unwittingly signed up. When their die-hard instructor Sgt. Funnybone (Miguel Martinez, The Donor Conspiracy) is found dead in a puddle of cream pie and blood, the curriculum changes from comedy to survival! Edwin slashes, stabs, strangles, and disembowels the clowns while laughing insanely at his own bad jokes.",1.76,/2QgwiIPFwGACQPY75a3dPMfH59z.jpg,Bring out the klowns!,Horror,I Can't Believe It's Not Hollywood! Entertainment,United States of America,English,clown
